2025-09-02 23:56:31,982: Train ICNN with JFB on CT
2025-09-02 23:56:31,982: The model has 26499 parameters
2025-09-02 23:56:31,983: Parameters:
2025-09-02 23:56:31,983: load_pretrain: False, load_parameter_fitting: False, score_sigma: 0.015
2025-09-02 23:56:31,983: pretrain_epochs: 0, pretrain_lr: 0.001, epochs: 4
2025-09-02 23:56:31,983: adabelief: True, fitting_lr: 0.1, lr: 0.005
2025-09-02 23:56:31,983: jacobian_regularization: False, jacobian_regularization_parameter: 1e-09, lmbd: 1.0
2025-09-02 23:58:30,389: maxiter hit in iteration 1
2025-09-03 00:00:22,499: maxiter hit in iteration 2
2025-09-03 05:35:51,874: Step 140, Train PSNR 33.41676955904279
2025-09-03 05:38:31,220: Step 150, Train PSNR 33.40315476735433
2025-09-03 05:41:09,938: Step 160, Train PSNR 33.373140037059784
2025-09-03 05:43:47,285: Step 170, Train PSNR 33.36491808049819
2025-09-03 05:46:26,583: Step 180, Train PSNR 33.36230628755357
2025-09-03 05:49:01,389: Step 190, Train PSNR 33.33371826974969
2025-09-03 05:51:38,136: Step 200, Train PSNR 33.34463666915894
2025-09-03 05:54:17,802: Step 210, Train PSNR 33.345236660185314
2025-09-03 05:56:51,573: Step 220, Train PSNR 33.3278039151972
2025-09-03 05:59:25,115: Step 230, Train PSNR 33.30254062984301
2025-09-03 06:02:07,056: Step 240, Train PSNR 33.30160706043243
2025-09-03 06:04:45,234: Step 250, Train PSNR 33.31934366607666
2025-09-03 06:07:26,166: Step 260, Train PSNR 33.306588312295766
2025-09-03 06:10:07,067: Step 270, Train PSNR 33.32638178931342
2025-09-03 06:12:48,222: Step 280, Train PSNR 33.33864986555917
2025-09-03 06:15:31,584: Step 290, Train PSNR 33.333840264945195
2025-09-03 06:18:14,469: Step 300, Train PSNR 33.34074487686157
2025-09-03 06:20:54,405: Step 310, Train PSNR 33.335164722319576
2025-09-03 06:23:28,384: Step 320, Train PSNR 33.3260981798172
2025-09-03 06:26:07,394: Step 330, Train PSNR 33.325293650771634
2025-09-03 06:28:57,626: Step 340, Train PSNR 33.32912997077493
2025-09-03 06:31:41,077: Step 350, Train PSNR 33.32657921927316
2025-09-03 06:34:18,994: Step 360, Train PSNR 33.320391252305775
2025-09-03 06:37:07,553: Step 370, Train PSNR 33.30273249342635
2025-09-03 06:39:51,370: Step 380, Train PSNR 33.311064253355326
2025-09-03 06:42:36,320: Step 390, Train PSNR 33.31020042223808
2025-09-03 06:44:14,926: [Epoch 4] Train Loss: 2.90E+01, PSNR: 33.30
2025-09-03 06:54:02,453: [Epoch 4] Val Loss: 3.22E+01, PSNR: 32.96
